iter	RMSE
0	77839.30938
1	77592.03023
2	77363.12926
3	77136.42235
4	76920.63564
5	76715.85609
6	76517.75752
7	76338.69083
8	76163.09736
9	75991.2384
10	75834.36443
11	75675.12627
12	75530.94811
13	75384.6927
14	75248.50457
15	75110.40128
16	74985.81932
17	74862.87349
18	74736.79184
19	74624.37753
20	74511.30124
21	74411.83254
22	74319.08052
23	74221.78065
24	74137.69614
25	74035.15947
26	73953.1775
27	73872.72525
28	73797.8908
29	73723.95746
30	73657.5317
31	73592.37679
32	73521.58506
33	73463.19586
34	73390.62475
35	73341.48906
36	73283.09349
37	73223.49096
38	73160.90886
39	73110.9712
40	73064.21676
41	73005.72608
42	72956.33276
43	72913.99331
44	72866.29001
45	72814.80974
46	72774.74701
47	72730.18155
48	72689.72524
49	72654.73037
50	72619.13611
51	72577.92997
52	72543.65367
53	72504.95792
54	72469.54699
55	72438.67452
56	72412.58541
57	72385.70405
58	72360.35619
59	72335.72999
60	72308.23415
61	72285.31869
62	72260.11381
63	72237.3483
64	72212.93827
65	72190.8108
66	72159.06383
67	72131.69345
68	72104.53825
69	72079.56003
70	72059.79295
71	72036.35349
72	72021.90658
73	71999.0823
74	71976.46152
75	71955.32826
76	71938.71176
77	71924.67851
78	71907.72291
79	71893.52318
80	71871.40839
81	71853.18711
82	71835.61876
83	71819.93581
84	71801.18692
85	71783.86223
86	71772.83893
87	71758.18755
88	71741.86487
89	71729.72106
90	71729.62211
91	71729.49897
92	71714.4594
93	71705.00428
94	71703.13579
95	71687.81275
96	71687.72746
97	71674.56254
98	71660.7012
99	71659.97568
100	71648.95104
101	71648.8734
102	71633.27461
103	71633.19828
104	71633.12764
105	71615.23121
106	71607.22044
107	71594.5518
108	71594.18912
109	71580.31754
110	71569.32362
111	71553.81432
112	71544.15294
113	71531.69404
114	71521.51744
115	71505.2962
116	71505.19589
117	71495.17071
118	71495.10694
119	71481.36748
120	71478.78995
121	71469.88968
122	71463.52223
123	71454.89781
124	71441.64319
125	71427.46243
126	71427.38454
127	71410.37051
128	71397.47226
129	71387.65266
130	71387.59611
131	71380.01157
132	71371.91536
133	71366.44991
134	71361.43209
135	71349.019
136	71337.3104
137	71328.801
138	71316.17879
139	71315.93585
140	71310.88231
141	71310.03576
142	71309.82933
143	71303.19263
144	71303.10503
