iter	Passed	Remaining
0	177	131046
1	273	100767
2	405	99550
3	544	100240
4	666	97957
5	745	91233
6	832	87160
7	927	84840
8	1026	83413
9	1123	82043
10	1224	81162
11	1319	80023
12	1407	78726
13	1501	77869
14	1601	77386
15	1679	75983
16	1791	76200
17	1902	76324
18	2051	77858
19	2172	78215
20	2275	77904
21	2381	77734
22	2471	77045
23	2578	76935
24	2678	76613
25	2760	75797
26	2851	75291
27	2950	75035
28	3035	74425
29	3149	74549
30	3250	74336
31	3349	74114
32	3447	73868
33	3554	73811
34	3671	73957
35	3790	74119
36	3881	73757
37	3986	73644
38	4082	73388
39	4233	74084
40	4331	73854
41	4440	73795
42	4551	73772
43	4644	73472
44	4731	73068
45	4843	73070
46	4921	72560
47	5015	72312
48	5124	72259
49	5183	71528
50	5240	70798
51	5333	70565
52	5419	70244
53	5515	70067
54	5619	69987
55	5720	69869
56	5800	69509
57	5889	69250
58	5966	68869
59	6044	68507
60	6129	68227
61	6199	67794
62	6287	67569
63	6380	67396
64	6476	67258
65	6582	67220
66	6694	67241
67	6779	66997
68	6845	66567
69	6954	66563
70	7053	66460
71	7110	65965
72	7223	66004
73	7278	65508
74	7342	65103
75	7437	64976
76	7556	65068
77	7629	64755
78	7741	64770
79	7845	64724
80	7940	64599
81	8027	64413
82	8118	64259
83	8193	63986
84	8273	63755
85	8359	63568
86	8463	63524
87	8561	63433
88	8650	63274
89	8747	63176
90	8773	62573
91	8808	62042
92	8895	61886
93	8975	61684
94	9042	61391
95	9137	61300
96	9156	60694
97	9261	60671
98	9338	60467
99	9375	60002
100	9476	59954
101	9494	59389
102	9575	59217
103	9602	58724
104	9632	58254
105	9733	58215
106	9840	58218
107	10006	58558
108	10058	58228
109	10147	58116
110	10256	58119
111	10391	58264
112	10561	58600
113	10631	58381
114	10714	58229
115	10798	58090
116	10828	57659
117	10929	57610
118	10946	57122
119	11072	57205
120	11102	56794
121	11178	56624
122	11255	56462
123	11344	56357
124	11412	56149
125	11499	56035
126	11522	55614
127	11612	55519
128	11715	55487
129	11811	55424
130	11839	55042
131	11930	54954
132	12011	54819
133	12127	54844
134	12216	54749
135	12310	54675
136	12424	54684
137	12502	54540
138	12601	54486
139	12636	54154
140	12752	54177
141	12796	53889
142	12826	53546
143	12920	53475
144	12966	53206
145	13063	53149
146	13155	53070
147	13250	53001
148	13339	52911
149	13455	52923
150	13554	52870
151	13635	52748
152	13708	52592
153	13773	52411
154	13792	52055
155	13900	52039
156	13977	51902
157	14062	51799
158	14079	51447
159	14100	51115
160	14188	51026
161	14241	50811
162	14317	50682
163	14338	50358
164	14398	50177
165	14464	50014
166	14528	49847
167	14588	49669
168	14668	49559
169	14688	49250
170	14767	49139
171	14862	49080
172	14941	48970
173	14998	48788
174	15056	48610
175	15133	48495
176	15220	48411
177	15290	48278
178	15314	47996
179	15399	47909
180	15429	47653
181	15514	47567
182	15599	47480
183	15679	47377
184	15760	47280
185	15858	47233
186	15932	47116
187	15973	46900
188	16070	46849
189	16095	46592
190	16126	46351
191	16226	46314
192	16319	46252
193	16413	46194
194	16476	46048
195	16559	45961
196	16648	45889
197	16703	45722
198	16778	45615
199	16846	45486
200	16932	45404
201	16951	45147
202	17030	45049
203	17070	44851
204	17140	44733
205	17229	44663
206	17304	44556
207	17338	44346
208	17409	44231
209	17483	44123
210	17555	44013
211	17576	43775
212	17659	43692
213	17740	43605
214	17797	43459
215	17869	43351
216	17956	43278
217	18017	43143
218	18033	42901
219	18110	42807
220	18176	42686
221	18218	42510
222	18285	42391
223	18347	42264
224	18421	42164
225	18444	41948
226	18511	41834
227	18587	41739
228	18670	41662
229	18747	41571
230	18778	41377
231	18848	41270
232	18935	41202
233	18997	41080
234	19083	41009
235	19149	40896
236	19218	40788
237	19325	40761
238	19384	40634
239	19406	40429
240	19462	40297
241	19538	40206
242	19593	40073
243	19657	39960
244	19767	39937
245	19860	39882
246	19941	39802
247	19998	39674
248	20035	39508
249	20110	39416
250	20193	39342
251	20308	39327
252	20393	39256
253	20473	39173
254	20549	39084
255	20626	38997
256	20726	38952
257	20793	38847
258	20880	38777
259	20964	38703
260	21007	38554
261	21080	38459
262	21130	38324
263	21199	38223
264	21289	38160
265	21360	38063
266	21436	37975
267	21503	37872
268	21605	37829
269	21661	37706
270	21698	37552
271	21759	37438
272	21780	37258
273	21836	37138
274	21911	37050
275	21998	36982
276	22070	36890
277	22125	36770
278	22144	36590
279	22217	36499
280	22292	36413
281	22367	36327
282	22452	36257
283	22501	36129
284	22559	36016
285	22637	35934
286	22712	35848
287	22790	35768
288	22863	35679
289	22947	35607
290	23016	35513
291	23088	35423
292	23105	35249
293	23192	35183
294	23263	35091
295	23277	34916
296	23365	34852
297	23448	34779
298	23604	34814
299	23693	34750
300	23881	34830
301	24136	35005
302	24208	34913
303	24311	34867
304	24437	34853
305	24517	34773
306	24625	34732
307	24745	34707
308	24808	34603
309	24906	34547
310	24977	34453
311	25095	34426
312	25176	34346
313	25295	34317
